Time,Sub:1:Ln:1,Sub:1:Ln:1.1,Sub:1:Ln:1.2,Sub:1:Ln:1.3,Sub:1:Ln:1-11,Sub:1:Ln:1-11.1,Sub:1:Ln:1-11.2,Sub:1:Ln:1-11.3,Sub:1:Ln:1-11.4
T,VM,VA,IM,IA,F,VM,VA,IM,IA
sec,KV,DEG,AMP,DEG,HZ,KV,DEG,AMP,DEG
1/1/00 0:00,Ln:1,Ln:1,Ln:1,Ln:1,Ln:1-11,Ln:1-11,Ln:1-11,Ln:1-11,Ln:1-11
0,202.4433,1.2422,58.2049,-139.6312,60,0.0034,129.815,0.2232,150.4476
0.033,202.4408,1.2416,58.1748,-139.5437,60,0.0021,5.8942,0.096,39.518
0.067,202.4308,1.2346,57.8959,-139.7702,60,0.006,112.6507,0.1224,162.6323
0.1,202.4349,1.2273,57.3956,-139.6777,60,0.0034,164.7544,0.1898,75.9978
0.133,202.4391,1.2308,57.2812,-139.7281,60,0.0026,-122.7862,0.0551,-2.9077
0.167,202.4415,1.2366,57.4416,-139.3068,60,0.0021,43.1125,0.3252,-169.3033
0.2,202.4336,1.2331,57.2406,-139.0822,60,0.0037,-86.8026,0.0618,-84.034
0.233,202.4454,1.2444,57.1677,-139.0933,60,0.0012,144.1065,0.0976,157.0045
0.267,202.4462,1.2492,56.5673,-138.9309,60,0.0011,-102.6975,0.1815,166.4881
0.3,202.4489,1.2551,56.2075,-138.4075,60,0.0024,-84.0886,0.1789,-9.2821
0.333,202.4604,1.2744,56.2788,-139.0223,60,0.0026,-2.1263,0.0726,-41.3727
0.367,202.4546,1.2887,56.2965,-138.6319,60,0.0019,-26.4027,0.2649,-99.8821
0.4,202.4565,1.306,55.8132,-138.4795,60,0.0023,-154.9562,0.0937,138.0089
0.433,202.4675,1.3344,55.3796,-138.13,60,0.0013,-12.5473,0.0806,112.971
0.467,202.4675,1.3616,55.2071,-138.115,60,0.0031,-123.375,0.1043,137.9329
0.5,202.4936,1.4029,55.4704,-138.1052,60,0.0027,167.5045,0.2839,43.015
0.533,202.4813,1.4374,55.1095,-137.9907,60,0.0015,85.9199,0.1561,-137.8684
0.567,202.4688,1.4606,54.6588,-137.2994,60,0.0052,175.6787,0.0592,-58.142
0.6,202.4775,1.4988,54.6044,-137.6323,60,0.0009,-158.6201,0.0394,88.4712
0.633,202.476,1.5418,54.5636,-137.4279,60,0.0017,99.4626,0.1306,-131.2562
0.667,202.4739,1.5823,54.6564,-137.0359,60,0.0027,153.7292,0.266,-116.6273
0.7,202.4798,1.6287,54.5613,-137.6202,60,0.0014,-153.0904,0.0847,-24.05
0.733,202.4725,1.6741,54.4328,-137.4186,60,0.0031,-147.9005,0.0626,-26.6621
0.767,202.4727,1.7153,54.2512,-137.1698,60,0.004,-130.1673,0.0775,-174.505
0.8,202.4891,1.7675,54.6677,-137.5643,60,0.0005,-163.9158,0.2101,88.0242
0.833,202.4875,1.8122,54.7543,-136.9375,60,0.0014,-161.9502,0.142,108.6644
0.867,202.4977,1.8639,54.4904,-136.9699,60,0.0016,77.906,0.0728,-70.9366
0.9,202.4928,1.9213,55.0487,-137.4755,60,0.0034,124.8602,0.1134,-27.2381
0.933,202.4856,1.9656,55.0919,-137.552,60,0.0044,100.338,0.1233,29.8357
0.967,202.4948,2.0128,55.202,-137.8939,60,0.0024,19.6217,0.0585,-137.5143
1,202.4956,2.0672,55.8252,-137.7,60,0.0015,142.4947,0.1529,-11.8988
1.033,202.4773,2.109,55.4937,-137.6169,60,0.0053,146.5734,0.2398,143.3764
1.067,202.5077,2.1725,56.0239,-138.0678,60,0.0045,130.5821,0.0468,93.7272
1.1,202.4929,2.2233,56.0226,-137.9389,60,0.0014,115.2416,0.1691,-96.6361
1.133,202.4854,2.2664,56.296,-138.0078,60,0.001,-34.2061,0.2374,175.42
1.167,202.4888,2.3162,56.3159,-138.2052,60,0.002,103.1405,0.0941,-113.1555
1.2,202.4871,2.3596,56.3838,-137.8159,60,0.004,-32.3889,0.0869,-62.1198
1.233,202.5032,2.4161,56.7143,-138.1073,60,0.0032,-159.8209,0.2508,164.297
1.267,202.4803,2.4676,56.4635,-138.2391,60,0.0012,-101.8803,0.1622,-100.9872
1.3,202.4674,2.5068,56.8765,-137.8027,60,0.0047,-45.8021,0.2007,49.0758
1.333,202.4689,2.5485,56.53,-137.7933,60,0.0021,-0.4917,0.1122,75.4798
1.367,202.4829,2.5982,56.8126,-137.9253,60,0.003,40.123,0.1625,-126.2532
1.4,202.4866,2.6527,57.0397,-138.0022,60,0.0035,165.6971,0.2534,7.4293
1.433,202.4857,2.6917,56.9848,-137.7897,60,0.0022,141.3779,0.1085,127.3288
1.467,202.5025,2.7452,57.143,-138.4323,60,0.004,-1.7535,0.0638,60.2379
1.5,202.492,2.7854,56.9753,-137.995,60,0.001,99.1128,0.0928,5.3138
1.533,202.4985,2.8214,57.2281,-138.0197,60,0.0011,45.7302,0.0945,-54.1448
1.567,202.4971,2.8677,57.5443,-138.4291,60,0.0002,-126.5192,0.0519,99.6155
1.6,202.4812,2.8904,57.37,-138.0567,60,0.0011,-137.086,0.0981,21.5713
1.633,202.4898,2.9274,57.3396,-138.3249,60,0.0048,85.4064,0.0244,-78.4726
1.667,202.4757,2.9496,56.9837,-138.0858,60,0.005,64.281,0.1324,-113.8986
1.7,202.4774,2.9641,56.6383,-137.8084,60,0.0049,-119.9774,0.018,122.3674
1.733,202.476,2.9743,56.5279,-137.6327,60,0.0017,-168.9763,0.1411,68.4348
1.767,202.4705,2.9872,55.9217,-137.1816,60,0.0017,-87.3066,0.2686,-169.2161
1.8,202.4784,2.9986,55.5489,-137.7092,60,0.0009,-39.2491,0.179,14.535
1.833,202.4727,3.0051,54.9821,-137.2258,60,0.0024,135.5944,0.1303,111.722
1.867,202.4721,3.0049,54.6955,-137.0464,60,0.0028,142.7704,0.0502,122.87
